X,Y,OBJECTID,LOCATION,CR_PPM,NI_PPM,CO_PPM,SC_PPM,V_PPM,CU_PPM,PB_PPM,ZN_PPM,BI_PPM,CD_PPM,IN_PPM,SN_PPM,W_PPM,MO_PPM,AS_PPM,SE_PPM,SB_PPM,TE_PPM,AG_PPM,RE_PPM,AU_PPB,HG_PPM,RB_PPM,CS_PPM,BA_PPM,SR_PPM,TL_PPM,GA_PPM,GE_PPM,LI_PPM,TA_PPM,NB_PPM,HF_PPM,ZR_PPM,Y_PPM,TH_PPM,U_PPM,LA_PPM,CE_PPM,PR_PPM,ND_PPM,SM_PPM,EU_PPM,GD_PPM,TB_PPM,DY_PPM,HO_PPM,ER_PPM,TM_PPM,YB_PPM,LU_PPM,BR_PPM,I_PPM,B_PPM,BE_PPM,MN_PPM,SAMPLE_NUMBER_ID,CHEMISTRY_REVIEWED,ROCK_TYPE_NAME,SAMPLE_TYPE,LITHOLOGICAL_UNIT,GEOLOGICAL_DOMAIN,COLLAR_PROJECT_NAME,DATE_ANALYSIS_SENT,SENT_BY,DATE_SAMPLE_COLLECTED,COLLECTED_BY,UTM_EASTING,UTM_NORTHING,SIO2_PCT,TIO2_PCT,AL2O3_PCT,FE2O3_PCT,FEO_PCT,MNO_PCT,MGO_PCT,CAO_PCT,NA2O_PCT,K2O_PCT,P2O5_PCT,CR2O3_PCT,H2O_M_PCT,H2O_P_PCT,SO4_PCT,CO2_PCT,C_ORG_PCT,LOI_PCT,TOTAL_PCT,PB_204_PPM,PB_206_PPM,PB_207_PPM,PB_208_PPM,S_PCT,RU_PPB,RH_PPB,PD_PPB,OS_PPB,IR_PPB,PT_PPB,F_PCT,CL_PCT,C_PCT,TI_PCT,AL_PCT,FE_PCT,MG_PCT,CA_PCT,NA_PCT,K_PCT,P_PCT,ANALYSIS_LAB,ANALYSIS_LAB_CERTIFICATE_NUM,ANALYSIS_LAB_CODE,DIGESTION,DIGESTION_METHOD,ANALYTICAL_METHOD,COMMENT_,REASON,SAMPLE_DESCRIPTION,ANALYSIS_ORIGIN,TYPE_OF_ANALYSIS,ANALYSIS_TYPE_DESCRIPTION,COLLAR_HOLE_NAME,DATA_OBTAINED,COMPANY_DATUM,COMPANY_ZONE,ELEVATION,COMPANY_NAME,NTS,CORE_SIZE,DRILL_TYPE,SAMPLE_DEPTH_FROM_METRES,SAMPLE_DEPTH_TO_METRES,SAMPLE_DEPTH_FROM_FEET,SAMPLE_DEPTH_TO_FEET,GLOBALID
556393,6165591,1,Knight Lake,55,9,12,30.1,239,60,-3,68,-2,-0.3,,-200,-1,2,8,-3,-0.1,,-0.3,,-2,-1,,-1,110,218,,,,29,-0.5,,4,,31,1.2,0.6,13.2,37,,21,5,1.2,,0.5,,,,,3.2,0.14,10.5,,,-1,911,GMn19-10-009,yes,calcic psammite,Outcrop Grab,Pc,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,556393,6165591,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,-5,,,,,0.66,6.65,5.12,1.97,7.83,1.69,0.84,0.106,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{2C7D9136-4C3B-4C09-8F00-A4B507F026CC}
564825,6160936,2,Irving Lake,270,69,36,41.7,323,94,-3,121,2,-0.3,,-200,-1,4,4.1,-3,-0.1,,-0.3,,-2,-1,,-1,-50,398,,,,14,-0.5,,2,,17,-0.2,4.6,7.4,17,,10,2.4,0.7,,-0.5,,,,,1.9,0.08,-0.5,,,-1,768,GMn19-19-014,yes,mafic calc-silicate rock,Outcrop Grab,Mvc,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,564825,6160936,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,-5,,,,,0.66,7.58,5.12,2.43,5.53,2.3,0.7,0.042,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{07A5089B-D80D-41F6-8E1E-8E08EB58663C}
567559,6171905,3,Dirks Lake,66,8,13,18.1,140,184,4,60,-2,-0.3,,200,-1,13,0.8,-3,-0.1,,0.4,,-2,-1,,-1,-50,307,,,,9,-0.5,,-1,,8,1.5,2.5,3.4,9,,-5,1.2,0.4,,-0.5,,,,,0.9,-0.05,-0.5,,,-1,663,GMn19-30-007,yes,gabbro,Outcrop Grab,Gam,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,567559,6171905,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,-5,,,,,0.43,5.28,5.56,1.46,4.86,1.73,0.46,0.09,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{45C21CC1-DA17-410A-8C0B-A9A3853E69CF}
563206,6154542,4,Irving Lake,65,34,39,41.5,97,175,-3,80,-2,-0.3,,-200,-1,-1,-0.5,-3,0.3,,-0.3,,-2,-1,,1,-50,327,,,,13,-0.5,,3,,31,-0.2,-0.5,8.3,24,,9,4.6,1.6,,0.7,,,,,3.1,0.11,-0.5,,,-1,1330,VDK19-06-006,yes,mafic volcanic rock,Outcrop Grab,Mv,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,563206,6154542,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,-5,,,,,0.31,7.53,8.59,1.99,6.46,1.71,0.47,0.18,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{4F9CE23E-F480-4C12-81CC-F1B0099414C3}
563865,6154792,5,Irving Lake,77,26,49,33.6,153,839,9,1250,-2,10.6,,-200,-1,1,11.7,-3,0.2,,1.5,,139,-1,,17,600,127,,,,43,-0.5,,3,,26,1,0.7,7.5,21,,10,3.5,1,,-0.5,,,,,2.8,0.12,-0.5,,,-1,2040,VDK19-06-009,yes,mafic volcanic rock,Outcrop Grab,Mv,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,563865,6154792,,,,,,,,,,,,,,,,,,,,,,,,2.84,,,,,-5,,,,,0.62,7.44,9.23,2.01,3.31,0.65,2.45,0.069,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{6D7505E6-E38F-462F-96B5-8F34F6277AFA}
555428,6165367,6,Knight Lake,37,4,4,9.4,62,20,4,88,-2,-0.3,,-200,-1,2,1.1,-3,-0.1,,-0.3,,-2,-1,,-1,90,272,,,,21,-0.5,,2,,10,0.7,1.8,3.3,9,,-5,1.5,0.8,,-0.5,,,,,0.7,-0.05,-0.5,,,3,292,VDK19-09-003-2,yes,pegmatitic granite,Outcrop Grab,Gl,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,555428,6165367,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,-5,,,,,0.15,7.97,1.99,0.62,4.06,2.65,0.46,0.017,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{9955BE6A-5DBB-48C3-AC4F-7C881885014E}
555565,6166989,7,Knight Lake,64,2,-1,0.3,5,7,-3,1,-2,-0.3,,-200,-1,9,0.8,-3,-0.1,,-0.3,,-2,-1,,-1,-50,4,,,,2,-0.5,,-1,,-1,-0.2,-0.5,0.7,-3,,-5,0.2,-0.2,,-0.5,,,,,-0.2,-0.05,-0.5,,,-1,46,VDK19-14-013,yes,quartz,Outcrop Grab,,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,555565,6166989,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,-5,,,,,0.01,0.12,0.56,-0.01,0.03,0.03,0.05,0.002,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{C4058510-855E-419D-911D-8B56FA32D7B2}
555552,6166993,8,Knight Lake,31,2,-1,1.9,62,53,53,9,-2,-0.3,,200,-1,16,-0.5,-3,-0.1,,0.8,,-2,-1,,-1,620,253,,,,3,-0.5,,6,,6,11.1,7.2,18.4,36,,19,3,0.6,,-0.5,,,,,0.7,0.09,-0.5,,,-1,63,VDK19-14-014,yes,leucogranite,Outcrop Grab,Gl,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,555552,6166993,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,-5,,,,,0.08,5.84,3.82,0.06,1.04,1.86,3.61,0.018,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{C766DDF4-8147-41FA-82B8-E6965BF19DEC}
562506,6158211,9,Irving Lake,224,217,84,44.5,202,232,-3,110,-2,-0.3,,-200,-1,1,-0.5,-3,-0.1,,-0.3,,-2,-1,,-1,-50,85,,,,13,-0.5,,-1,,17,-0.2,-0.5,1.2,-3,,-5,1,0.3,,-0.5,,,,,2.6,0.09,-0.5,,,-1,950,VDK19-19-002,yes,pillowed mafic calc-silicate rock,Outcrop Grab,Mvcp,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,562506,6158211,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,-5,,,,,0.26,9.42,6.57,1.72,7.52,2.56,0.12,0.01,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{99C854E8-13A4-4953-8D68-CBADBCC8EBDE}
562349,6164445,10,NE of Irving,194,38,27,40.6,165,98,6,73,-2,-0.3,,-200,-1,39,-0.5,-3,0.2,,1.1,,-2,-1,,15,-50,168,,,,18,-0.5,,-1,,12,0.4,2.4,1.3,3,,-5,0.7,-0.2,,-0.5,,,,,1.8,0.06,-0.5,,,2,880,VDK19-23-007,yes,intermediate volcanic rock,Outcrop Grab,Mv,Glennie,Central Glennie,2019,Van De Kerckhove,2019,Van De Kerckhove,562349,6164445,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,-5,,,,,0.28,8.22,5.05,1.39,5.7,2.68,2.48,0.015,ActLabs,A19-17562,"Code 1H (Au+49), Multi Method INAA + ICP-OES",total,,"Code 1H (Au+49), Multi Method INAA + ICP-OES",,,,,,,,,,,,,,,,,,,,{6BDAE845-F93F-4E8B-BE30-90C13DB0BB1B}
