X,Y,OBJECTID,SMDI,NAME,HISTORICNAMES,PRIMARYCOMMODITIES,ASSOCIATEDCOMMODITIES,GROUPING,DISCOVERYTYPE,STATUS,PRODUCTION,RESERVESRESOURCES,UTM13E,UTM13N,WEBLINK,SYMBOLOGY_STATUS,SYMBOLOGY_GROUPING,GLOBALID
706669.65,6033719.84,1,0003,M.J. Moreau Drill Holes Nos. 13 and 14,M.J. Moreau Drill Holes Nos. 13 and 14,Iron,,Iron,Drillhole,Mineral Location,No,No,706669.65,6033719.84,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0003,Mineral Location,Base Metals,{D655850F-067A-4F00-BBC8-9D289C87467E}
693496.08,6071120.46,2,0004,TOM Option Drill Holes 1 and 2,TOM Option Drill Holes 1 and 2,Silver,"Copper, Gold, Nickel",Silver,Drillhole,Occurrence: Primary Exploration,No,No,693496.08,6071120.46,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0004,Occurrence: Primary Exploration,Precious Metals,{64AF2A92-81E3-4AAA-8594-48B921F5C989}
698616.9,6068680.48,3,0005,Newcor Mine,"Newcor Au Mine, Newcor Mine",Gold,"Arsenic, Copper, Silver, Zinc",Gold,,Deposit: Post-Production,Yes,Yes,698616.9,6068680.48,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0005,Deposit: Post-Production,Precious Metals,{1FC0254E-0D4C-4398-9C5A-631AC7C7F98C}
698893.89,6066464.51,4,0006,Henning-Maloney Mine,"Henning-Maloney Au Mine, Henning-Maloney Mine",Gold,Arsenic,Gold,,Deposit: Post-Production,Yes,Yes,698893.89,6066464.51,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0006,Deposit: Post-Production,Precious Metals,{C75ACDF8-83A3-45AB-B0D5-052F980D285A}
697095.95,6068242.49,5,0007,Dodo Au Showing,Dodo Au Showing,Gold,Copper,Gold,Drillhole,Anomaly: Bedrock/Felsenmeer Geochemical,No,No,697095.95,6068242.49,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0007,Anomaly,Precious Metals,{771B5161-E721-426F-BDA9-0B93C4938EC6}
695032.03,6067069.5,6,0008,Angelski Patmore Au Showing,Angelski Patmore Au Showing,Gold,"Copper, Silver",Gold,Drillhole,Occurrence: Primary Exploration,No,No,695032.03,6067069.5,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0008,Occurrence: Primary Exploration,Precious Metals,{29A2FF09-F3FE-437B-9FF8-537EB2F2A8B1}
701031.82,6063927.53,7,0009,Phantom Lake Mine,Phantom Lake Mine,Gold,"Copper, Silver, Tungsten",Gold,,Deposit: Advanced Exploration,Yes,No,701031.82,6063927.53,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0009,Deposit: Advanced Exploration,Precious Metals,{F8B9FA4C-4F98-4178-B362-72613349601C}
701718.79,6065009.52,8,0010,"McMillan Mine; McMillan Gold Veins 1 to 4","McMillan Mine; McMillan Gold Veins 1 to 4",Gold,Silver,Gold,,Deposit: Advanced Exploration,Yes,No,701718.79,6065009.52,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0010,Deposit: Advanced Exploration,Precious Metals,{FD10C5E9-9E00-49D1-AADB-26D49B2D8877}
699177.88,6067745.49,9,0011,Bootleg/Rio Mine,"Bootleg Au Mine or Rio Au Deposit - includes the WC Zone, AJ Zone, Phantom Lake Granite Dyke Zone, and B Zone, Bootleg/Rio Mine",Gold,"Copper, Lead, Silver, Zinc",Gold,,Deposit: Post-Production,Yes,Yes,699177.88,6067745.49,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0011,Deposit: Post-Production,Precious Metals,{B9C01BC1-D9A8-4238-AD7C-D455B203F73C}
701134.81,6068048.49,10,0012,Phantom Lake (west of) Au Showing,Phantom Lake (west of) Au Showing,Gold,,Gold,Outcrop grab,Mineral Location,No,No,701134.81,6068048.49,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0012,Mineral Location,Precious Metals,{CD80D618-432E-42A6-8D2A-1EFEF11EDB4A}
699457.87,6068717.48,11,0013,Unity Au-Cu Showing,Unity Au-Cu Showing,Gold,Copper,Gold,Trench,Prospect: Primary Exploration,No,No,699457.87,6068717.48,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0013,Prospect: Primary Exploration,Precious Metals,{95F7D9B8-8C10-48CF-90A9-E6649FEC4690}
698847.89,6069124.48,12,0014,Cor Gold Prospect,Cor Gold Prospect,Gold,"Arsenic, Copper, Silver",Gold,Drillhole,Prospect: Primary Exploration,No,No,698847.89,6069124.48,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0014,Prospect: Primary Exploration,Precious Metals,{FECC9CF0-D67C-4851-B389-4EF7D810A52C}
703292.74,6061430.55,13,0015,Border Au Showing,Border Au Showing,Gold,"Arsenic, Copper, Iron, Zinc",Gold,Outcrop grab,Occurrence: Primary Exploration,No,No,703292.74,6061430.55,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0015,Occurrence: Primary Exploration,Precious Metals,{E1470CB5-76BD-4C6E-A338-C9678FBA1E47}
701702.79,6063770.53,14,0016,IMC-A Showing,IMC-A Showing,Gold,Silver,Gold,Drillhole,Occurrence: Primary Exploration,No,No,701702.79,6063770.53,https://mineraldeposits.saskatchewan.ca/Home/Viewdetails/0016,Occurrence: Primary Exploration,Precious Metals,{A4945689-53AE-40C9-BB97-46AB2EACEE3E}
