company1,company2,company3,company4,company5,company6,namemine,town,province,latitude,longitude,open1,close1,open2,close2,open3,close3,information,source1,source2,source3,link1,link2,link3,Commodity
Quebec Copper Corp. Ltd,,,,,,,,Quebec,45.263786,-72.331764,1866,1958,,,,,,0,1,0,,,,Silver
Quebec Copper Corp. Ltd,,,,,,,,Quebec,45.263786,-72.331764,1866,1958,,,,,,0,1,0,,,,Gold
Quebec Copper Corp. Ltd,,,,,,,,Quebec,45.263786,-72.331764,1866,1958,,,,,,0,1,0,,,,Copper
Noland Mines Ltd.,,,,,,Spruce Creek,Atlin,British Columbia,59.38272,-133.27033,1909,1950,1955,1989,,,,0,1,1,https://www.mindat.org/feature-6088912.html,https://www.mindat.org/loc-257276.html,https://mrdata.usgs.gov/ardf/show-ardf.php?ardf_num=OP026,Gold
Falconbridge Nickel Mines Ltd. ,,,,,,Wesfrob (Tasu),Moresby Island ,British Columbia,52.75834,-132.05,1914,1983,,,,,,0,1,1,https://www.mindat.org/loc-26169.html,,,Iron
Falconbridge Nickel Mines Ltd. ,,,,,,Wesfrob (Tasu),Moresby Island ,British Columbia,52.75834,-132.05,1914,1983,,,,,,0,1,1,https://www.mindat.org/loc-26169.html,,,Copper
Greenwood Coal Co. Ltd. ,,,,,,,,Nova Scotia,45.5502192,-62.56677981,1918,1966,,,,,The currently entered coordinates are for the museum (see link attached),0,1,1,https://www.mindat.org/loc-290980.html,,,Coal
Noranda Mines Ltd,Normetal Mining Corporation Ltd.,Falconbridge Ltd.,Xstrata,,,Horne,Noranda ,Quebec,48.25427,-79.01128,1927,1976,,,,,"Alternative names: Horne Mine (1975) The mine is named after prospector Edmund Horne who first staked the property in 1920. The property was optioned in 1922 to a syndicate that discovered a major copper-gold deposit and grew to become Noranda Mines Limited, later Noranda Inc., one of the world's premier mining and metals companies. The deposit in Precambrian Keewatin-type volcanic rocks is a classic example of a volcanogenic massive sulfide (VMS) deposit. The Horne mine exploited two major ore bodies called the Upper H and the Lower H. The ore averaged 2.22% Cu, 6.1 g/t Au and 13 g/t Ag. The mine closed in 1976,having produced 53.7 million tons of ore and recovering 260t of gold (11.6 million ounces) and 1.13Mt of copper. The Horne copper smelter built on the mine site in 1927 is still in operation. Mineral rights are currently (2015) owned by Falco Resources Ltd which is examining the feasibility of mining the Horne 5 copper-gold deposit below the old Horne mine workings.",0,1,1,https://www.mindat.org/loc-609.html,,,Tellurium
Noranda Mines Ltd,Normetal Mining Corporation Ltd.,Falconbridge Ltd.,Xstrata,,,Horne,Noranda ,Quebec,48.25427,-79.01128,1927,1976,,,,,"Alternative names: Horne Mine (1975) The mine is named after prospector Edmund Horne who first staked the property in 1920. The property was optioned in 1922 to a syndicate that discovered a major copper-gold deposit and grew to become Noranda Mines Limited, later Noranda Inc., one of the world's premier mining and metals companies. The deposit in Precambrian Keewatin-type volcanic rocks is a classic example of a volcanogenic massive sulfide (VMS) deposit. The Horne mine exploited two major ore bodies called the Upper H and the Lower H. The ore averaged 2.22% Cu, 6.1 g/t Au and 13 g/t Ag. The mine closed in 1976,having produced 53.7 million tons of ore and recovering 260t of gold (11.6 million ounces) and 1.13Mt of copper. The Horne copper smelter built on the mine site in 1927 is still in operation. Mineral rights are currently (2015) owned by Falco Resources Ltd which is examining the feasibility of mining the Horne 5 copper-gold deposit below the old Horne mine workings.",0,1,1,https://www.mindat.org/loc-609.html,,,Gold
Noranda Mines Ltd,Normetal Mining Corporation Ltd.,Falconbridge Ltd.,Xstrata,,,Horne,Noranda ,Quebec,48.25427,-79.01128,1927,1976,,,,,"Alternative names: Horne Mine (1975) The mine is named after prospector Edmund Horne who first staked the property in 1920. The property was optioned in 1922 to a syndicate that discovered a major copper-gold deposit and grew to become Noranda Mines Limited, later Noranda Inc., one of the world's premier mining and metals companies. The deposit in Precambrian Keewatin-type volcanic rocks is a classic example of a volcanogenic massive sulfide (VMS) deposit. The Horne mine exploited two major ore bodies called the Upper H and the Lower H. The ore averaged 2.22% Cu, 6.1 g/t Au and 13 g/t Ag. The mine closed in 1976,having produced 53.7 million tons of ore and recovering 260t of gold (11.6 million ounces) and 1.13Mt of copper. The Horne copper smelter built on the mine site in 1927 is still in operation. Mineral rights are currently (2015) owned by Falco Resources Ltd which is examining the feasibility of mining the Horne 5 copper-gold deposit below the old Horne mine workings.",0,1,1,https://www.mindat.org/loc-609.html,,,Copper
Noranda Mines Ltd,Normetal Mining Corporation Ltd.,Falconbridge Ltd.,Xstrata,,,Horne,Noranda ,Quebec,48.25427,-79.01128,1927,1976,,,,,"Alternative names: Horne Mine (1975) The mine is named after prospector Edmund Horne who first staked the property in 1920. The property was optioned in 1922 to a syndicate that discovered a major copper-gold deposit and grew to become Noranda Mines Limited, later Noranda Inc., one of the world's premier mining and metals companies. The deposit in Precambrian Keewatin-type volcanic rocks is a classic example of a volcanogenic massive sulfide (VMS) deposit. The Horne mine exploited two major ore bodies called the Upper H and the Lower H. The ore averaged 2.22% Cu, 6.1 g/t Au and 13 g/t Ag. The mine closed in 1976,having produced 53.7 million tons of ore and recovering 260t of gold (11.6 million ounces) and 1.13Mt of copper. The Horne copper smelter built on the mine site in 1927 is still in operation. Mineral rights are currently (2015) owned by Falco Resources Ltd which is examining the feasibility of mining the Horne 5 copper-gold deposit below the old Horne mine workings.",0,1,1,https://www.mindat.org/loc-609.html,,,Silver
Noranda Mines Ltd,Normetal Mining Corporation Ltd.,Falconbridge Ltd.,Xstrata,,,Horne,Noranda ,Quebec,48.25427,-79.01128,1927,1976,,,,,"Alternative names: Horne Mine (1975) The mine is named after prospector Edmund Horne who first staked the property in 1920. The property was optioned in 1922 to a syndicate that discovered a major copper-gold deposit and grew to become Noranda Mines Limited, later Noranda Inc., one of the world's premier mining and metals companies. The deposit in Precambrian Keewatin-type volcanic rocks is a classic example of a volcanogenic massive sulfide (VMS) deposit. The Horne mine exploited two major ore bodies called the Upper H and the Lower H. The ore averaged 2.22% Cu, 6.1 g/t Au and 13 g/t Ag. The mine closed in 1976,having produced 53.7 million tons of ore and recovering 260t of gold (11.6 million ounces) and 1.13Mt of copper. The Horne copper smelter built on the mine site in 1927 is still in operation. Mineral rights are currently (2015) owned by Falco Resources Ltd which is examining the feasibility of mining the Horne 5 copper-gold deposit below the old Horne mine workings.",0,1,1,https://www.mindat.org/loc-609.html,,,Selenium
