province,longitude,latitude,Almandine,Anhydrite,Anorthosite,Antimony,Apatite,Arsenic,Asbestos,Barite,Barium,Be,Bentonite,Beryllium,Bismuth,Building Stone,Cadmium,Caesium,Calcium Carbonate,Cesium,Chromium,Chrysotile,Clay,Closed between 2020 and 2021,Coal,Cobalt,Copper,Diamond,Diatomite,Dimension Stone,Dolomite,Feldspar,Fireclay,Flagstone,Fluorine,Fluorspar,Fullers Earth,GM68420,GM68420.pdf,Gallium,Garnet,Gemstones,Germanium,Gold,Gold Silver,Granite,Graphite,Gypsum,Ilmenite,Iron,Iron ore,Jade,Lead,Lime,Limestone,Lithium,Magnesia,Magnesitic Dolomite,Magnesium,Magnetite,Mercury,Mica,Molybdenum,Nepheline Syenite,Nephrite,Nickel,Niobium,PM,Palladium,Perlite,Phosphate,Platinum,Potash,Pozzolan,Pumice,Pyrite,Pyrophyllite,Quartz,Radium,Rare Earth Elements (REE),Rhenium,Salt,Selenium,Serpentine,Shale,Siderite,Silica,Silver,Slate,Slerium,Soapstones,Sodium Sulphate,Steatite,Strontium,Sulfur,Sulphur,Sulphure,Talc,Tantalum,Tellerium,Tellurium,Thorium,Tin,Titanium,Tremolite,Tungsten,Uranium,Wollastonite,Zinc,Zircon,geometry,index_right,SiO2_pct,Al2O3_pct,Fe2O3_pct,MgO_pct,CaO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,Au_ppb,Cu_ppm,Ni_ppm,Co_ppm,Li_ppm,Cr_ppm,Zn_ppm,Pb_ppm,Mo_ppm,As_ppm,Th_ppm,U_ppm,La_ppm,Ce_ppm,Nd_ppm,Nb_ppm,V_ppm,W_ppm,Vp_100_kms,MagSus_SI,Density_gcc,distance,elevation
Alberta,-119.2595334,54.02862025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1525958.3337411587 849170.0345496284),43667,10.08006,1.3441762,0.9157023,0.7828493,30.056355,0.58401287,0.6841868,0.23886105,6.0573664,0.03540887,7.566604,13.606967,18.104792,11.127805,5.1658926,14.102632,4058.0798,408.09412,2.4371908,10.964535,75.014984,51.4347,426.64917,505.8323,24.02681,15.378661,274.67572,187.34122,6.156535,0.0,2.7415583,4126.2169569790285,1526.0
Alberta,-119.1783886,53.93860907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1524759.5002336388 838074.83496537),43232,10.509113,1.4948486,1.4728879,0.6392965,29.851658,0.21032892,0.61128604,0.32743186,6.478723,0.040785734,7.5373063,30.002161,19.373186,12.094529,6.3309364,20.800648,10823.078,1638.1223,3.0567093,10.340519,12.8072815,50.517616,40.271633,46.87187,24.538885,21.961147,248.10219,9.442221,6.00305,0.0,2.70222,5133.985333505597,997.0
Alberta,-117.5087097,53.09308204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1456191.7562425954 712424.1215821471),37570,31.763702,5.646134,7.142402,0.16006821,11.979845,2.1192288,1.6890423,0.6382805,1.4330331,0.14654124,6.7911844,509.71957,31.25641,19.215378,13.199227,54.068157,36432.695,6540.999,5.4294195,4.8755913,13.749751,20.55912,37.78773,163.04466,21.69266,32.11923,63.64259,5.209881,5.870413,0.0,2.7686038,4514.349402083481,1757.0
Alberta,-117.4604471,53.60719525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1433701.9187399866 764224.1598291417),39753,19.958529,4.7392106,4.412431,0.395807,20.130655,1.5849476,1.7081265,0.43533635,2.1432745,0.06331662,7.257545,451.9121,28.208645,17.72241,9.907187,38.974438,28525.209,4439.3896,4.433979,7.0087156,124.13319,35.547295,705.88947,947.5852,22.464796,32.361004,174.46313,6.3258367,5.8450656,0.0,2.725312,5616.867573800063,1444.0
Alberta,-117.4407696,53.10082201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1451687.0882460014 711668.0643237005),37571,31.612782,5.6225667,7.1559386,0.15995707,11.958366,2.1400228,1.6953422,0.63264275,1.4228749,0.14721966,6.8020735,512.5557,31.221003,19.212734,13.190302,53.900658,35989.05,6477.926,5.3929596,4.913316,13.645185,20.535019,37.22558,162.06943,21.672197,31.796474,63.615643,5.274975,5.8694158,0.0,2.7685504,2372.6105094785653,1704.0
Alberta,-117.4070829,53.06594227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1450919.6932670132 707306.8316101895),37571,31.612782,5.6225667,7.1559386,0.15995707,11.958366,2.1400228,1.6953422,0.63264275,1.4228749,0.14721966,6.8020735,512.5557,31.221003,19.212734,13.190302,53.900658,35989.05,6477.926,5.3929596,4.913316,13.645185,20.535019,37.22558,162.06943,21.672197,31.796474,63.615643,5.274975,5.8694158,0.0,2.7685504,2845.9158720854607,1669.0
Alberta,-117.4,53.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1450451.4922034615 707223.3484717942),37571,31.612782,5.6225667,7.1559386,0.15995707,11.958366,2.1400228,1.6953422,0.63264275,1.4228749,0.14721966,6.8020735,512.5557,31.221003,19.212734,13.190302,53.900658,35989.05,6477.926,5.3929596,4.913316,13.645185,20.535019,37.22558,162.06943,21.672197,31.796474,63.615643,5.274975,5.8694158,0.0,2.7685504,2813.135602707022,1659.0
Alberta,-117.36642,53.403506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1435640.9599648742 741146.1557799326),38880,23.977552,5.2156672,7.0048995,0.17225045,12.559178,2.0305133,1.8100059,0.5091228,1.8721957,0.07529674,6.8278084,482.16953,30.807089,18.773306,11.154363,53.23125,35589.15,6400.109,5.390736,5.1306186,123.46398,28.72046,704.5088,971.4825,22.413754,33.293633,143.94025,6.101999,5.8468246,0.0,2.7265043,4507.210576259613,1347.0
Alberta,-117.0832472,53.16712917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1427028.1707627797 710412.6511196337),37573,31.359234,5.575625,7.180121,0.15986866,11.933097,2.1686378,1.7006633,0.62410027,1.4078377,0.14846669,6.815576,515.35034,31.148958,19.190426,13.174633,53.65197,35307.777,6382.1387,5.337876,4.9747977,13.483658,20.505545,36.33961,160.42561,21.640366,31.295536,63.59695,5.3844037,5.8672905,0.0,2.7684305,3000.569689167091,1360.0
Alberta,-116.7956893,53.06878004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-1412810.5939192374 693836.2287614207),36703,32.279247,5.6436796,8.428253,0.444619,9.687018,2.4059892,1.7536355,0.6165563,1.349244,0.15116723,7.234097,870.946,35.357414,23.53257,13.256529,54.159794,34380.996,6264.701,5.099989,3.8933496,13.055352,19.865356,35.31145,160.34245,21.548517,30.253403,61.537045,1.5562507,5.8480396,0.0,2.75939,4755.735200565387,1401.0
