/ Dataset:E:\data\storage\3\5\1\4\0003\Densities and Magnetic Susceptibilities - CSV - Point Data - 08JUL2014.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,SAMPLE,SOURCE,DEPTH,ELEVATION,ROCKTYPE,COMMENTS,DENSITY,SMSNO,MAGSUS,LATITUDE,LONGITUDE,SDMAGSUS
-125.511249825,48.9096352736,D007-0023,1-EPB,0.0,0.0,"RHYOLITE        ",,2.6,,*,48.9,-125.5,*,
-126.054620803,49.2612966887,D007-0022,1-EPB,0.0,0.0,"GNEISS GRANITIC ",,2.7,,*,49.3,-126.1,*,
-125.539619191,49.6363115059,D007-0022,1-EPB,0.0,0.0,"ANDESITE        ",,2.8,,*,49.6,-125.5,*,
-126.571316737,49.609634332,D007-0022,1-EPB,0.0,0.0,"GRANODIORITE    ",,2.6,,*,49.6,-126.6,*,
-123.894652116,48.3881436369,D001-0001,1-EPB,0.0,0.0,SANDSTONE,,2.5,,*,48.4,-123.9,*,
-123.626303872,48.3946515966,D001-0000,1-EPB,0.0,0.0,DIABASE,,2.8,,*,48.4,-123.6,*,
-123.894652116,48.3881436369,D001-0001,1-EPB,0.0,0.0,SANDSTONE,,2.5,,*,48.4,-123.9,*,
-123.581302693,48.4064818998,D001-0000,1-EPB,0.0,0.0,BASALT,,2.9,,*,48.4,-123.6,*,
-123.687973706,48.356481157,D001-0000,1-EPB,0.0,0.0,ANORTHOSITE,,2.8,,*,48.4,-123.7,*,
-123.687973706,48.356481157,D001-0000,1-EPB,0.0,0.0,ANORTHOSITE,,3.2,,*,48.4,-123.7,*,
-123.687973706,48.356481157,D001-0000,1-EPB,0.0,0.0,ANORTHOSITE,,3.0,,*,48.4,-123.7,*,
-123.687973706,48.356481157,D001-0000,1-EPB,0.0,0.0,ANORTHOSITE,,2.8,,*,48.4,-123.7,*,
-123.804480048,48.3631476005,D001-0000,1-EPB,0.0,0.0,BASALT,,2.9,,*,48.4,-123.8,*,
-123.554641354,48.4896494732,D001-0001,1-EPB,0.0,0.0,SILTSTONE,,2.8,,*,48.5,-123.6,*,
-123.551139455,48.462982636,D001-0001,1-EPB,0.0,0.0,QUARTZ,,2.7,,*,48.5,-123.6,*,
-123.564470392,48.4246488495,D001-0000,1-EPB,0.0,0.0,BASALT,,2.8,,*,48.4,-123.6,*,
-123.551139455,48.462982636,D001-0001,1-EPB,0.0,0.0,SLATE,,2.6,,*,48.5,-123.6,*,
-123.637970873,48.321481574,D001-0000,1-EPB,0.0,0.0,GABBRO,,2.9,,*,48.3,-123.6,*,
-123.416306297,48.519818689,D001-0001,1-EPB,0.0,0.0,GNEISS,,2.7,,*,48.5,-123.4,*,
-124.457844857,48.5296232649,D007-0023,1-EPB,0.0,0.0,"PHYLLITE        ",,2.7,,*,48.5,-124.5,*,
-123.561311068,48.5313163597,D001-0001,1-EPB,0.0,0.0,VOLCANIC,,2.8,,*,48.5,-123.6,*,
-124.656190837,48.5796161313,D007-0023,1-EPB,0.0,0.0,"SANDSTONE GREY  ",,2.4,,*,48.6,-124.7,*,
-123.539479663,48.5696504238,D001-0001,1-EPB,0.0,0.0,"QTZ DIORITE",,2.6,,*,48.6,-123.5,*,
-123.56948009,48.5614830963,D001-0001,1-EPB,0.0,0.0,GABBRO,,3.0,,*,48.6,-123.6,*,
-123.534647822,48.5946507573,D001-0001,1-EPB,0.0,0.0,VOLCANIC,,2.8,,*,48.6,-123.5,*,
-123.701177286,49.0629875585,D007-0023,1-EPB,0.0,0.0,"GRIT FELSPATHIC ",,2.5,,*,49.1,-123.7,*,
-123.171138643,48.8113244874,D007-0023,1-EPB,0.0,0.0,"GRIT FELSPATHIC ",,2.5,,*,48.8,-123.2,*,
-122.23696972,49.7083454798,D001-0822,1-EPB,0.0,6178.0,SYENITE,MES.FELS.INTR.,2.8,,*,49.7,-122.2,*,
-123.259491947,49.3296599652,D007-0024,1-EPB,0.0,0.0,"GRANITE         ",,2.6,,*,49.3,-123.3,*,
-122.23696972,49.7083454798,D001-0822,1-EPB,0.0,6178.0,ANDESITE,MES.FELS.INTR.,2.7,,*,49.7,-122.2,*,
