/ Dataset:E:\data\storage\3\5\1\4\0003\Densities and Magnetic Susceptibilities - CSV - Point Data - 08JUL2014.hxyz
/
/ Projection:NAD83
/      Datum:NAD83,6378137,0.0818191910428158,0
/     Method:
/       Unit:dega,1
/      Local:"NAD83 to WGS 84 (1)",0,0,0,0,0,0,0
/
X,Y,SAMPLE,SOURCE,DEPTH,ELEVATION,ROCKTYPE,COMMENTS,DENSITY,SMSNO,MAGSUS,LATITUDE,LONGITUDE,SDMAGSUS
-92.8916602819,48.0457453308,D001-0606,1-EPB,0.0,0.0,"MIXED GNEISS",AR.MAF.VOLC.,2.6,,*,48.0,-92.9,*,
-92.9431377473,48.6594329439,D001-0605,1-EPB,0.0,0.0,ANDESITE,PR.MAFICS,3.0,,*,48.7,-92.9,*,
-95.7104342515,49.0774873635,D001-0661,1-EPB,0.0,0.0,GRANITE,,2.6,,*,49.1,-95.7,*,
-95.8676072286,49.2111530081,D001-0600,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.6,,*,49.2,-95.9,*,
-95.988774592,49.7019933715,D001-0600,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.6,,*,49.7,-96.0,*,
-96.0421099436,49.7253280851,D001-0603,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.6,,*,49.7,-96.0,*,
-94.4117067637,49.0179847807,D001-0605,1-EPB,0.0,0.0,GRANITE,PR.FELS.INTR.,2.7,,*,49.0,-94.4,*,
-95.0327303377,49.0273263142,D001-0662,1-EPB,0.0,0.0,"MAFIC GNEISS",PR.FELS.INTR.,2.7,,*,49.0,-95.0,*,
-94.9383996622,49.1298277551,D001-0603,1-EPB,0.0,0.0,"MIXED GNEISS",PR.GNEISS,2.7,,*,49.1,-94.9,*,
-94.0706897722,49.066649782,D001-0605,1-EPB,0.0,0.0,"MIXED GNEISS",PR.FELS.INTR.,2.9,,*,49.1,-94.1,*,
-93.9211735045,48.9086266365,D001-0656,1-EPB,0.0,0.0,RHYOLITE,AR.MAF.VOLC.,2.7,,*,48.9,-93.9,*,
